animal_id,nombre,tipo,raza,fecha_ingreso,sexo,refugio
A000851,Isabella,Gato,Doméstico de pelo corto,2021-06-25,Hembra,Huellitas
A000820,Joaquin,Gato,Bengalí,2022-11-23,Macho,Huellitas
A000212,Juan,Gato,Maine Coon,2025-09-25,Hembra,Huellitas
A000827,Juan Pablo,Gato,Doméstico de pelo corto,2025-12-23,Macho,Huellitas
A000832,Bautista,Gato,Ragdoll,2026-05-30,Macho,Huellitas
A000709,Pilar,Gato,Ragdoll,2025-12-20,Hembra,Huellitas
A000396,Camila,Gato,Siamés,2024-06-20,Hembra,Huellitas
A000189,Guillermina,Gato,Bengalí,2022-12-24,Hembra,Huellitas
A000694,Samuel,Gato,Bengalí,2023-11-08,Hembra,Huellitas
A000690,Francesca,Gato,Doméstico de pelo corto,2022-11-23,Macho,Huellitas
A000685,Josefina,Gato,Siamés,2022-04-03,Hembra,Huellitas
A000844,Luciano,Gato,Doméstico de pelo corto,2023-01-07,Macho,Huellitas
A000174,Jazmin,Gato,Maine Coon,2021-08-02,Macho,Huellitas
A000173,Mateo,Gato,Siamés,2025-12-22,Hembra,Huellitas
A000416,Valentin,Gato,Doméstico de pelo corto,2025-02-27,Hembra,Huellitas
A000417,Ignacio,Gato,Maine Coon,2024-06-06,Hembra,Huellitas
A000223,Julia,Gato,Maine Coon,2024-04-21,Hembra,Huellitas
A000852,Maximo,Gato,Ragdoll,2025-01-01,Hembra,Huellitas
A000423,Lorenzo,Gato,Bengalí,2017-10-09,Hembra,Huellitas
A000650,Antonella,Gato,Doméstico de pelo corto,2025-12-12,Hembra,Huellitas
A000641,Antonella,Gato,Siamés,2024-03-13,Macho,Huellitas
A000150,Enzo,Gato,Doméstico de pelo corto,2021-09-19,Hembra,Huellitas
A000149,Bruno,Gato,Ragdoll,2025-05-17,Hembra,Huellitas
A000639,Pilar,Gato,Ragdoll,2019-09-18,Macho,Huellitas
A000867,Helena,Gato,Maine Coon,2022-08-20,Macho,Huellitas
A000638,Alfonsina,Gato,Mestizo,2023-11-26,Hembra,Huellitas
A000450,Julieta,Gato,Bengalí,2025-01-18,Macho,Huellitas
A000637,Fausto,Gato,Mestizo,2022-03-30,Macho,Huellitas
A000458,Valentina,Gato,Ragdoll,2024-09-06,Macho,Huellitas
A000889,Florencia,Gato,Doméstico de pelo corto,2024-05-09,Macho,Huellitas
A000890,Tomàs,Gato,Mestizo,2025-09-27,Hembra,Huellitas
A000330,Agustin,Gato,Doméstico de pelo corto,2026-04-25,Hembra,Huellitas
A000310,Victoria,Gato,Ragdoll,2026-03-02,Hembra,Huellitas
A000305,Martina,Gato,Doméstico de pelo corto,2025-11-06,Hembra,Huellitas
A000312,Catalina,Gato,Bengalí,2021-01-29,Hembra,Huellitas
A000303,Benicio,Gato,Maine Coon,2023-04-30,Hembra,Huellitas
A000299,Benjamin,Gato,Mestizo,2022-12-28,Hembra,Huellitas
A000316,Luca,Gato,Maine Coon,2019-12-16,Hembra,Huellitas
A000764,Joaquin,Gato,Mestizo,2025-09-08,Hembra,Huellitas
A000765,Lara,Gato,Mestizo,2026-04-17,Hembra,Huellitas
A000757,Mia Valentina,Gato,Siamés,2017-06-12,Hembra,Huellitas
A000751,Agustin,Gato,Persa,2024-06-25,Hembra,Huellitas
A000772,Benjamin,Gato,Bengalí,2025-07-20,Macho,Huellitas
A000325,Dylan Ezequiel,Gato,Mestizo,2026-02-23,Hembra,Huellitas
A000749,Guadalupe,Gato,Siamés,2022-02-12,Macho,Huellitas
A000328,Tomas Benjamin,Gato,Siamés,2023-04-19,Macho,Huellitas
A000329,Paloma,Gato,Bengalí,2023-06-25,Macho,Huellitas
A000570,Mora,Gato,Ragdoll,2025-08-03,Hembra,Huellitas
A000332,Ciro Benjamin,Gato,Bengalí,2025-06-21,Hembra,Huellitas
A000745,Benjamin,Gato,Maine Coon,2023-07-30,Hembra,Huellitas
A000802,Isabella,Gato,Maine Coon,2025-02-21,Hembra,Huellitas
A000809,Alma Valentina,Gato,Ragdoll,2024-11-22,Hembra,Huellitas
A000810,Genaro,Gato,Maine Coon,2022-09-05,Hembra,Huellitas
A000246,Luca,Gato,Persa,2026-04-14,Macho,Huellitas
A000240,Thiago Ezequiel,Gato,Siamés,2022-08-16,Macho,Huellitas
A000813,Juan Pablo,Gato,Bengalí,2022-12-04,Hembra,Huellitas
A000359,Benjamin,Gato,Bengalí,2024-07-08,Hembra,Huellitas
A000230,Joaquin,Gato,Bengalí,2026-02-07,Hembra,Huellitas
A000362,Thiago Emanuel,Gato,Mestizo,2025-04-27,Macho,Huellitas
A000227,Bruno,Gato,Doméstico de pelo corto,2016-05-26,Macho,Huellitas
A000731,Felipe,Gato,Mestizo,2024-07-16,Macho,Huellitas
A000224,Antonella,Gato,Maine Coon,2019-07-31,Hembra,Huellitas
A000964,Luciano Benjamin,Gato,Persa,2026-01-11,Hembra,Huellitas
A000504,Juan Ignacio,Gato,Ragdoll,2021-11-10,Macho,Huellitas
A000922,Thiago Agustin,Gato,Siamés,2021-06-11,Hembra,Huellitas
A000925,Juana,Gato,Mestizo,2025-12-30,Hembra,Huellitas
A000075,Olivia,Gato,Doméstico de pelo corto,2020-10-05,Hembra,Huellitas
A000935,Emma,Gato,Bengalí,2023-05-01,Hembra,Huellitas
A000936,Benjamin Alejandro,Gato,Maine Coon,2023-11-29,Hembra,Huellitas
A000609,Lourdes,Gato,Siamés,2024-09-22,Hembra,Huellitas
A000066,Santino,Gato,Doméstico de pelo corto,2023-06-23,Macho,Huellitas
A000605,Nahiara Jazmin,Gato,Ragdoll,2024-01-07,Macho,Huellitas
A000603,Bautista Benjamin,Gato,Maine Coon,2021-10-06,Macho,Huellitas
A000531,Francisco,Gato,Doméstico de pelo corto,2025-01-16,Macho,Huellitas
A000960,Santino,Gato,Doméstico de pelo corto,2024-03-19,Macho,Huellitas
A000532,Thiago Ezequiel,Gato,Mestizo,2025-09-11,Hembra,Huellitas
A000118,Agustina,Gato,Persa,2023-04-03,Hembra,Huellitas
A000533,Martina,Gato,Ragdoll,2022-10-02,Macho,Huellitas
A000544,Santiago,Gato,Maine Coon,2021-09-02,Hembra,Huellitas
A000592,Juan Manuel,Gato,Maine Coon,2025-11-27,Macho,Huellitas
A000976,Ana Paula,Gato,Ragdoll,2022-11-11,Hembra,Huellitas
A000587,Maria Luz,Gato,Persa,2023-09-24,Hembra,Huellitas
A000584,Bianca,Gato,Ragdoll,2020-03-06,Macho,Huellitas
A000557,Alvaro,Gato,Bengalí,2025-10-30,Hembra,Huellitas
A000583,Jeremias,Gato,Ragdoll,2025-09-29,Macho,Huellitas
A000015,Isabella,Gato,Persa,2026-03-04,Macho,Huellitas
A000005,Milagros,Gato,Mestizo,2026-04-25,Macho,Huellitas
A000989,Maximiliano,Gato,Persa,2022-11-20,Hembra,Huellitas
A000568,Ciro,Gato,Bengalí,2018-07-14,Macho,Huellitas
A000462,Olivia,Gato,Bengalí,2021-04-23,Macho,Huellitas
A000120,Emilia,Gato,Doméstico de pelo corto,2025-04-10,Hembra,Huellitas
A000479,Benicio,Gato,Mestizo,2025-04-15,Macho,Huellitas
A000115,Dante,Gato,Siamés,2025-06-09,Hembra,Huellitas
A000488,Olivia,Gato,Bengalí,2024-03-19,Hembra,Huellitas
A000345,Felicitas,Perro,Beagle,2026-02-13,Macho,Huellitas
A000748,Tiziano,Perro,Mestizo,2026-02-21,Hembra,Huellitas
A000452,Juan Pablo,Perro,Pastor Alemán,2025-04-04,Hembra,Huellitas
A000747,Lucía ,Perro,Labrador,2025-11-23,Hembra,Huellitas
A000465,Clara,Perro,Beagle,2019-02-18,Hembra,Huellitas
A000743,Guadalupe,Perro,Bulldog,2022-12-03,Hembra,Huellitas
A000343,Mateo,Perro,Pastor Alemán,2026-03-25,Macho,Huellitas
A000540,Abril,Perro,Poodle,2022-05-30,Macho,Huellitas
A000736,Valentina Jazmin,Perro,Golden Retriever,2021-07-22,Macho,Huellitas
A000535,Lautaro,Perro,Poodle,2024-08-10,Macho,Huellitas
A000470,Juan David,Perro,Labrador,2024-01-18,Macho,Huellitas
A000627,Lorenzo,Perro,Poodle,2022-02-02,Macho,Huellitas
A000740,Mateo,Perro,Labrador,2019-06-22,Hembra,Huellitas
A000353,Juan Bautista,Perro,Pastor Alemán,2026-04-29,Macho,Huellitas
A000447,Agustín,Perro,Poodle,2026-01-03,Macho,Huellitas
A000482,Martina,Perro,Labrador,2025-10-10,Macho,Huellitas
A000581,Juana,Perro,Pastor Alemán,2025-01-24,Macho,Huellitas
A000284,Alma Jazmin,Perro,Poodle,2025-04-06,Hembra,Huellitas
A000759,Joaquin,Perro,Chihuahua,2025-08-17,Hembra,Huellitas
A000461,Juan Ignacio,Perro,Bulldog,2022-05-17,Macho,Huellitas
A000460,Lucas Ezequiel,Perro,Chihuahua,2022-07-16,Hembra,Huellitas
A000758,Thiago,Perro,Beagle,2018-12-17,Macho,Huellitas
A000565,Bautista,Perro,Bulldog,2026-02-27,Hembra,Huellitas
A000563,Lautaro Benjamin,Perro,Pastor Alemán,2026-01-27,Hembra,Huellitas
A000631,Delfina,Perro,Mestizo,2026-03-11,Hembra,Huellitas
A000453,Benjamin,Perro,Labrador,2026-01-14,Macho,Huellitas
A000560,Ignacio,Perro,Labrador,2017-08-19,Hembra,Huellitas
A000321,Sofia,Perro,Bulldog,2024-05-03,Hembra,Huellitas
A000634,Valentina,Perro,Beagle,2025-11-10,Hembra,Huellitas
A000324,Juan,Perro,Mestizo,2025-10-24,Macho,Huellitas
A000455,Felipe,Perro,Golden Retriever,2020-10-14,Hembra,Huellitas
A000555,Mia,Perro,Mestizo,2020-09-16,Macho,Huellitas
A000589,Benjamin,Perro,Golden Retriever,2021-09-05,Macho,Huellitas
A000508,Emma,Perro,Labrador,2025-01-21,Macho,Huellitas
A000384,Santiago,Perro,Mestizo,2026-05-26,Hembra,Huellitas
A000653,Thiago Agustin,Perro,Mestizo,2018-04-26,Hembra,Huellitas
A000514,Candela,Perro,Chihuahua,2019-05-29,Macho,Huellitas
A000697,Felipe,Perro,Mestizo,2026-02-01,Hembra,Huellitas
A000655,Martina,Perro,Golden Retriever,2024-07-14,Hembra,Huellitas
A000696,Thiago Lionel,Perro,Poodle,2026-02-09,Hembra,Huellitas
A000695,Julieta,Perro,Pastor Alemán,2025-11-12,Hembra,Huellitas
A000512,Alma Valentina,Perro,Mestizo,2025-12-04,Macho,Huellitas
A000509,Charo,Perro,Mestizo,2022-01-13,Macho,Huellitas
A000486,Gonzalo,Perro,Bulldog,2025-10-11,Hembra,Huellitas
A000507,Catalina,Perro,Pastor Alemán,2024-12-11,Hembra,Huellitas
A000683,Gael,Perro,Labrador,2021-06-22,Macho,Huellitas
A000679,Mateo,Perro,Labrador,2025-06-23,Hembra,Huellitas
A000506,Nahiara,Perro,Beagle,2025-08-16,Macho,Huellitas
A000419,Lautaro,Perro,Labrador,2026-03-13,Macho,Huellitas
A000490,Thiago,Perro,Chihuahua,2025-04-29,Hembra,Huellitas
A000614,Lautaro Nahuel,Perro,Bulldog,2025-03-14,Hembra,Huellitas
A000418,Joaquin,Perro,Mestizo,2023-10-02,Hembra,Huellitas
A000365,Jeremias,Perro,Poodle,2024-06-02,Macho,Huellitas
A000495,Emilia,Perro,Bulldog,2023-10-01,Macho,Huellitas
A000484,Lautaro,Perro,Bulldog,2026-04-18,Hembra,Huellitas
A000529,Martina,Perro,Beagle,2022-01-01,Macho,Huellitas
A000527,Juan Ignacio,Perro,Golden Retriever,2025-08-25,Macho,Huellitas
A000625,Olivia,Perro,Pastor Alemán,2025-10-06,Macho,Huellitas
A000522,Valentino,Perro,Labrador,2025-08-24,Hembra,Huellitas
A000607,Juan Cruz,Perro,Chihuahua,2026-05-30,Hembra,Huellitas
A000364,Thiago Agustin,Perro,Bulldog,2016-01-29,Hembra,Huellitas
A000356,Benicio,Perro,Mestizo,2019-03-09,Hembra,Huellitas
A000720,Mia Morena,Perro,Mestizo,2018-11-17,Macho,Huellitas
A000373,Sebastian,Perro,Chihuahua,2025-10-24,Macho,Huellitas
A000438,Lautaro,Perro,Golden Retriever,2025-09-15,Macho,Huellitas
A000717,Paulina,Perro,Pastor Alemán,2022-03-25,Hembra,Huellitas
A000649,Maia,Perro,Labrador,2025-02-19,Hembra,Huellitas
A000715,Pedro,Perro,Labrador,2023-06-06,Macho,Huellitas
A000377,Ian Benjamin,Perro,Pastor Alemán,2022-04-01,Macho,Huellitas
A000383,Luz Maria,Perro,Poodle,2025-01-18,Hembra,Huellitas
A000870,Juana,Perro,Labrador,2018-11-28,Hembra,Huellitas
A000907,Valentino,Perro,Mestizo,2022-02-23,Macho,Huellitas
A000105,Alexander,Perro,Golden Retriever,2025-10-22,Hembra,Huellitas
A000905,Malena,Perro,Chihuahua,2024-04-22,Hembra,Huellitas
A000111,Benjamin,Perro,Poodle,2022-02-10,Hembra,Huellitas
A000899,Martina,Perro,Golden Retriever,2023-02-18,Hembra,Huellitas
A000887,Santino,Perro,Chihuahua,2026-04-26,Hembra,Huellitas
A000882,Lorenzo,Perro,Labrador,2026-05-13,Hembra,Huellitas
A000128,Juana,Perro,Pastor Alemán,2021-03-28,Hembra,Huellitas
A000130,Catalina,Perro,Mestizo,2026-02-19,Macho,Huellitas
A000873,Ian,Perro,Mestizo,2024-10-27,Macho,Huellitas
A000134,Benjamin,Perro,Pastor Alemán,2022-03-05,Hembra,Huellitas
A000135,Camila,Perro,Bulldog,2025-10-08,Hembra,Huellitas
A000099,Jazmin,Perro,Bulldog,2023-04-03,Hembra,Huellitas
A000864,Benjamin,Perro,Poodle,2024-07-09,Hembra,Huellitas
A000148,Vicente,Perro,Bulldog,2023-09-27,Hembra,Huellitas
A000151,Violeta,Perro,Mestizo,2022-02-15,Hembra,Huellitas
A000863,Carmela,Perro,Bulldog,2025-03-28,Hembra,Huellitas
A000157,Tiziano,Perro,Poodle,2024-05-26,Hembra,Huellitas
