animal_id,nombre,tipo,refugio,raza,sexo,fecha_ingreso
,,Perro,,,,
A000625,Isabella,Gato,Huellitas,Mestizo,Hembra,2026-05-29
A000215,Juan Cruz,Gato,Huellitas,Mestizo,Hembra,2026-04-09
A000647,Santiago,Gato,Huellitas,Mestizo,Hembra,2024-09-03
A000230,Juan Pablo,Gato,Huellitas,Mestizo,Hembra,2025-05-30
A000637,Sofia,Gato,Huellitas,Persa,Hembra,2026-05-16
A000636,Felipe,Gato,Huellitas,Mestizo,Macho,2025-01-12
A000241,Valentina,Gato,Huellitas,Ragdoll,Macho,2025-08-26
A000630,Sara,Gato,Huellitas,Siamés,Hembra,2024-09-17
A000247,Santino Gabriel,Gato,Huellitas,Persa,Macho,2022-03-02
A000654,Zoe,Gato,Huellitas,Bengalí,Hembra,2026-05-21
A000255,Santino,Gato,Huellitas,Maine Coon,Hembra,2021-06-11
A000260,Juan Ignacio,Gato,Huellitas,Ragdoll,Macho,2016-10-28
A000602,Thiago Benjamin,Gato,Huellitas,Doméstico de pelo corto,Hembra,2025-10-03
A000270,Juan Francisco,Gato,Huellitas,Maine Coon,Macho,2026-03-30
A000284,Francisco,Gato,Huellitas,Doméstico de pelo corto,Macho,2025-07-03
A000285,Sofia,Gato,Huellitas,Persa,Macho,2023-07-02
A000289,Olivia,Gato,Huellitas,Mestizo,Macho,2021-10-25
A000292,Santino,Gato,Huellitas,Ragdoll,Macho,2024-11-25
A000669,Milena,Gato,Huellitas,Persa,Hembra,2025-05-03
A000200,Guillermina,Gato,Huellitas,Mestizo,Macho,2021-10-18
A000674,Agustina,Gato,Huellitas,Persa,Hembra,2022-01-14
A000679,Ana Paula,Gato,Huellitas,Persa,Macho,2021-07-31
A000722,Catalina,Gato,Huellitas,Ragdoll,Macho,2021-11-16
A000179,Agustin,Gato,Huellitas,Ragdoll,Hembra,2026-02-27
A000178,Juan Pablo,Gato,Huellitas,Persa,Macho,2025-12-17
