animal_id,nombre,tipo,raza,sexo,fecha_ingreso,refugio
A000214,Maximo,Gato,Doméstico de pelo corto,Hembra,2020-11-12,Huellitas
A000183,Pedro,Gato,Maine Coon,Hembra,2023-06-19,Huellitas
A000697,Francesca,Gato,Mestizo,Macho,2025-12-19,Huellitas
A000695,Francisco,Gato,Maine Coon,Macho,2026-05-21,Huellitas
A000189,Alfonsina,Gato,Bengalí,Hembra,2025-08-25,Huellitas
A000670,Bruno,Gato,Doméstico de pelo corto,Hembra,2026-05-19,Huellitas
A000661,Emilia,Gato,Mestizo,Macho,2021-12-21,Huellitas
A000644,Maximo,Gato,Doméstico de pelo corto,Macho,2021-12-28,Huellitas
A000633,Juan Bautista,Gato,Mestizo,Macho,2021-04-24,Huellitas
A000720,Bautista Benjamin,Gato,Persa,Hembra,2018-12-27,Huellitas
A000616,Maite,Gato,Mestizo,Hembra,2026-04-02,Huellitas
A000217,Felicitas,Gato,Ragdoll,Macho,2026-02-17,Huellitas
A000614,Josefina,Gato,Persa,Hembra,2022-12-24,Huellitas
A000594,Lara,Gato,Doméstico de pelo corto,Hembra,2025-12-06,Huellitas
A000593,Lucia,Gato,Mestizo,Macho,2025-10-30,Huellitas
A000574,Mora,Gato,Ragdoll,Hembra,2026-01-05,Huellitas
A000551,Victoria,Gato,Ragdoll,Macho,2021-10-28,Huellitas
A000257,Guadalupe,Gato,Doméstico de pelo corto,Hembra,2026-04-09,Huellitas
A000751,Lucía,Gato,Maine Coon,Hembra,2021-12-05,Huellitas
A000128,Juan Bautista,Gato,Persa,Macho,2021-07-06,Huellitas
A000131,Martina,Gato,Siamés,Hembra,2025-09-16,Huellitas
A000133,Valentina,Gato,Bengalí,Hembra,2024-12-29,Huellitas
A000138,Catalina,Gato,Maine Coon,Macho,2024-03-15,Huellitas
A000775,Thiago Emanuel,Gato,Ragdoll,Macho,2023-05-23,Huellitas
A000144,Luca,Gato,Siamés,Macho,2026-04-18,Huellitas
A000771,Thiago Daniel,Gato,Maine Coon,Macho,2024-04-14,Huellitas
A000757,Sofia,Gato,Maine Coon,Macho,2024-01-23,Huellitas
A000258,Valentino,Gato,Persa,Macho,2026-02-21,Huellitas
A000747,Gael,Gato,Doméstico de pelo corto,Macho,2024-07-28,Huellitas
A000745,Maximo,Gato,Doméstico de pelo corto,Macho,2026-06-03,Huellitas
A000741,Joaquin,Gato,Bengalí,Hembra,2024-03-25,Huellitas
A000740,Juan Pablo,Gato,Persa,Hembra,2025-11-08,Huellitas
A000738,Ciro,Gato,Siamés,Macho,2017-05-27,Huellitas
A000737,Tobias,Gato,Bengalí,Macho,2020-10-11,Huellitas
A000726,Jeremias,Gato,Ragdoll,Hembra,2022-11-09,Huellitas
A000345,Tomas,Gato,Siamés,Hembra,2025-12-28,Huellitas
A000329,Martina,Gato,Doméstico de pelo corto,Macho,2025-05-28,Huellitas
A000436,Nahiara Jazmin,Gato,Bengalí,Macho,2023-11-18,Huellitas
A000433,Santiago,Gato,Siamés,Hembra,2024-07-06,Huellitas
A000427,Bautista,Gato,Maine Coon,Macho,2024-08-11,Huellitas
A000423,Victoria,Gato,Ragdoll,Macho,2023-03-27,Huellitas
A000416,Luz Milagros,Gato,Doméstico de pelo corto,Hembra,2025-10-11,Huellitas
A000412,Valentin,Gato,Maine Coon,Hembra,2024-08-25,Huellitas
A000341,Santino,Gato,Mestizo,Macho,2018-01-21,Huellitas
A000327,Lautaro Benjamin,Gato,Persa,Macho,2023-06-25,Huellitas
A000351,Juan Bautista,Gato,Ragdoll,Hembra,2017-04-03,Huellitas
A000401,Santino Benjamin,Gato,Siamés,Macho,2024-08-02,Huellitas
A000391,Mateo Benjamin,Gato,Doméstico de pelo corto,Hembra,2024-02-02,Huellitas
A000384,Lorenzo,Gato,Maine Coon,Hembra,2019-04-11,Huellitas
A000374,Santino,Gato,Ragdoll,Macho,2025-09-21,Huellitas
A000365,Julieta,Gato,Maine Coon,Macho,2019-09-19,Huellitas
A000366,Benjamin,Gato,Doméstico de pelo corto,Macho,2026-02-05,Huellitas
A000476,Santiago Nicolas,Gato,Doméstico de pelo corto,Hembra,2024-08-18,Huellitas
